"ID"	"wt_birth"	"car_wt"	"num_ribs"	"car_bf10"	"car_lma"	"sex"	"perc_duroc"	"sire"	"dam"	"litter"	"slgdt_cd"
"287"	1328	1.63	72.11	15	15.24	37.74	"F"	0.499533839861823	311	467	45	12
"288"	1329	1.81	82.09	NA	22.86	37.42	"M"	0.474455445609374	331	322	43	8
"289"	1331	1.36	65.76	NA	15.24	31.61	"M"	0.472107088917941	331	322	43	8
"290"	1333	1.04	80.73	NA	43.18	32.9	"M"	NA	331	322	43	8
"291"	1334	1.09	87.07	15	22.86	49.68	"F"	0.522742727364679	311	467	45	12
"292"	1335	1.22	80.73	NA	26.67	36.77	"M"	0.49906078936087	331	322	43	9
"293"	1337	1.04	76.64	NA	33.02	34.19	"M"	0.572803891108485	331	322	43	8
"294"	1338	1.27	83.9	15	20.32	46.45	"F"	0.511814014586937	311	467	45	12
"295"	1339	1.36	76.19	13	27.94	42.58	"M"	0.474254561977474	311	467	45	10
"296"	1342	0.82	74.83	15	20.32	41.61	"F"	0.455509797736223	311	467	45	12
"297"	1343	1.41	83.9	15	25.4	44.19	"M"	0.539633598985078	311	467	45	12
